"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
103,"México DF Taxi de Sitio","2016-09-17 05:27:15","2016-09-18 04:12:15",0.073257611419947,0.330497343397541,-99.1796888598233,19.4385306956427,"N",81901,2789,157
104,"México DF Taxi Libre","2016-09-18 11:28:56","2016-09-18 11:34:45",0.119754410525973,0.27062545623006,-99.2948957334048,19.3206866935109,"N",349,1693,33
105,"México DF Taxi de Sitio","2016-09-18 04:12:21","2016-09-18 04:21:02",0.0742547413853197,0.329787686104106,-99.1791074530471,19.4387774158831,"N",521,2279,181
106,"Monterrey","2016-09-18 04:14:32","2016-09-18 04:28:53",0.154061071226498,0.631413032429484,-100.26461034,25.70387534,"N",862,7286,187
107,"Bogotá","2016-08-07 03:35:36","2016-09-18 04:30:31",0.389967647989125,0.753880365522565,-74.1787113686441,4.64636656779659,"N",3632095,2655,2534
108,"Bogotá","2016-09-18 04:31:13","2016-09-18 04:32:19",0.389275945220353,0.753251599209768,-74.1658128548868,4.64064892728687,"N",66,318,52
109,"México DF Taxi de Sitio","2016-09-18 04:27:42","2016-09-18 04:35:52",0.0627383394429074,0.295149164388087,-99.1705506775685,19.3875829506849,"N",490,2725,125
110,"Quito","2016-09-18 04:06:27","2016-09-18 04:38:32",0.528353117507738,0.117903797828423,-78.498013362,-0.160759396000013,"N",1926,10948,779
111,"Monterrey","2016-09-18 04:42:36","2016-09-18 04:47:39",0.127875180694414,0.571597516758161,-100.11249934,25.65101666,"N",304,2229,3627
112,"Quito","2016-09-18 04:20:13","2016-09-18 04:50:58",0.42630450123176,0.062343068416109,-78.4476286501916,-0.0110263593174761,"N",1845,16840,141
113,"México DF Radio Taxi","2016-09-18 03:04:34","2016-09-18 05:00:20",0.0774347774911028,0.291978153058397,-99.193288,19.34044954,"N",6946,4489,182
114,"Bogotá","2016-09-13 12:07:04","2016-09-18 05:00:44",0.386401336311171,0.747592698321427,-74.1253638578788,4.57674517185731,"N",449620,3228,211
115,"Monterrey","2016-09-18 05:02:03","2016-09-18 05:14:40",0.128414169864886,0.580310734757716,-100.05614732,25.645295,"N",757,8263,3647
116,"Rumiñahui","2016-09-18 05:06:37","2016-09-18 05:17:44",0.596786775851963,0.557431772357767,-78.5162797524332,-0.245228646796476,"N",668,4462,128
117,"Panamá Uber","2016-09-18 05:09:30","2016-09-18 05:26:49",0.744766252604972,0.00775246087829245,-79.5325726298413,8.94573894209743,"N",1040,15277,20
118,"Monterrey","2016-09-18 05:38:13","2016-09-18 05:44:01",0.124668195130107,0.593362571187393,-100.11245498,25.65103102,"N",348,2834,80
119,"Monterrey","2016-09-18 05:40:40","2016-09-18 05:45:25",0.132043363612728,0.629212293159931,-100.116091258174,25.6890357457983,"N",285,3704,1
120,"Monterrey","2016-09-18 05:42:15","2016-09-18 05:48:30",0.151545788430963,0.629167380103943,-100.217299,25.696773,"N",375,2540,3701
121,"Guadalajara UberXL","2016-09-18 05:33:26","2016-09-18 05:50:23",0.325163183392743,0.387215855624507,-103.3032624,20.65193248,"N",1018,4582,189
122,"México DF UberX","2016-09-18 05:39:10","2016-09-18 05:52:15",0.0490480145129259,0.349559257956867,-99.1537898080732,19.4263262195977,"N",786,10933,173
123,"Monterrey","2016-09-18 05:57:28","2016-09-18 06:02:28",0.128719597061486,0.580759869344141,-100.08772934,25.636663,"N",300,3889,3609
124,"Guadalajara UberXL","2016-09-18 05:50:37","2016-09-18 06:08:02",0.324489446929654,0.387835678992971,-103.29034228,20.61770178,"N",1045,5178,359
125,"México DF Radio Taxi","2016-09-18 04:59:28","2016-09-18 06:12:01",0.0984733214451819,0.357437333049324,-99.2033452575472,19.5794666264151,"N",4353,1459,139
126,"Quito","2016-09-18 06:23:17","2016-09-18 06:28:02",0.704899020295747,0.558500716856951,-78.5414615737123,-0.269888234813493,"N",286,1456,49
127,"Monterrey","2016-09-18 06:17:18","2016-09-18 06:29:49",0.12874654652001,0.580175994374831,-100.11451768,25.69120064,"N",752,7097,3718
128,"Quito","2016-09-18 06:31:24","2016-09-18 06:35:34",0.700524224862085,0.673783814846004,-78.55303032,-0.273100980000016,"N",250,1681,51
129,"Bogotá","2016-09-18 05:39:06","2016-09-18 06:37:07",0.363727858539994,0.77145883812564,-74.0865878606557,4.57894484754096,"N",3482,27760,796
130,"Ecuador","2016-08-08 10:47:05","2016-09-18 06:38:48",0.725928581096985,0.162370270272491,-78.6590855840916,-1.67954895874945,"N",3527504,2414,41
131,"Quito","2016-09-18 06:37:29","2016-09-18 06:40:20",0.708636011877684,0.677457668923972,-78.5580832955723,-0.269065233438415,"N",171,1144,5
132,"Monterrey","2016-09-18 06:31:09","2016-09-18 06:48:08",0.149803056779771,0.643494625207191,-100.14446030234,25.7061481144572,"N",1020,10118,346
133,"Monterrey","2016-09-18 06:53:28","2016-09-18 07:05:23",0.128243489960903,0.580400561677859,-100.08236202,25.65178,"N",716,4476,3847
134,"Monterrey","2016-09-18 06:50:17","2016-09-18 07:04:12",0.157214157873757,0.610187088382731,-100.27390666,25.674692,"N",836,4987,3930
135,"Monterrey","2016-09-18 07:08:31","2016-09-18 07:12:32",0.122629019435156,0.572747302987615,-100.09033702,25.63206836,"N",241,1684,51
136,"Quito","2016-09-18 07:09:08","2016-09-18 07:14:57",0.707369387327076,0.67383771003591,-78.53221502,-0.258158679999986,"N",349,2852,43
137,"Monterrey","2016-09-18 07:14:38","2016-09-18 07:17:08",0.122107996570367,0.569747079061969,-100.07130832,25.62775366,"N",151,2063,3623
138,"Quito","2016-09-18 07:18:53","2016-09-18 07:26:53",0.669909639979292,0.540696927113391,-78.5063695382979,-0.244985317021268,"N",480,2401,113
139,"Monterrey","2016-09-18 07:45:09","2016-09-18 07:50:27",0.143191456288652,0.603369257721531,-100.167313215996,25.6581597955605,"N",319,3800,13540
140,"Quito","2016-09-18 07:27:12","2016-09-18 07:55:44",0.646436661605249,0.53948425535858,-78.5401423134616,-0.294809423076941,"N",1712,9577,517
141,"Bogotá","2016-09-18 07:33:15","2016-09-18 08:07:08",0.388548309840217,0.747862169958115,-74.0382286312169,4.76459902433861,"N",2034,27136,215
142,"Quito","2016-09-18 07:59:59","2016-09-18 08:12:49",0.700245747124008,0.684050837707041,-78.5562756634135,-0.295549885241255,"N",771,3364,405
143,"Monterrey","2016-09-18 08:01:19","2016-09-18 08:18:53",0.141610421388601,0.58528714397771,-100.16843768982,25.6213311214106,"N",1055,6283,120
144,"Monterrey","2016-09-18 08:07:49","2016-09-18 08:21:37",0.124919723409661,0.594305751575225,-100.15588134,25.63959734,"N",829,8229,3733
145,"Monterrey","2016-09-18 07:25:34","2016-09-18 08:25:14",0.168245469562745,0.601563743819108,-100.31221198,25.77772634,"N",3580,21347,11215
146,"Monterrey","2016-09-18 08:20:07","2016-09-18 08:29:53",0.141242112122112,0.563710695659918,-100.178027874731,25.6626821094139,"N",587,5352,25
147,"Monterrey","2016-09-18 08:33:27","2016-09-18 08:42:52",0.143002810078987,0.592931402956521,-100.201342338731,25.6735320807948,"N",566,6470,310
148,"Quito","2016-09-18 08:55:16","2016-09-18 08:55:52",0.682279441441618,0.00925264738621225,-78.5273397963611,-0.0909389045367504,"N",36,51,24
149,"Ecuador","2016-09-18 07:53:36","2016-09-18 08:58:55",0.765598184043703,0.381718289859585,-79.92042512,-2.21693006000001,"N",3919,28480,967
150,"Monterrey","2016-09-18 08:51:19","2016-09-18 09:03:26",0.166206293867794,0.600602599358624,-100.3175272,25.66004384,"N",728,5308,196
