,"id","vendor_id","pickup_datetime","dropoff_datetime","pickup_longitude","pickup_latitude","dropoff_longitude","dropoff_latitude","store_and_fwd_flag","trip_duration","dist_meters","wait_sec"
639,640,Quito,2016-09-20,2016-09-21,0.57504754597627,0.22032924670884804,-78.4953909396542,-0.12758626588845698,N,21943,20295,20717
640,641,Quito,2016-09-21,2016-09-21,0.595349471397372,0.0791595176532793,-78.50322832,-0.205449340000017,N,799,9589,132
641,642,Valparaiso UberX,2016-09-21,2016-09-21,0.36115867682741204,0.7301758133948358,-71.5318216579514,-32.781726388411,N,26383,11499,55
642,643,Quito,2016-09-21,2016-09-21,0.654449633939595,0.103755358608959,-78.48965270474041,-0.17656508284427103,N,751,6500,86
643,644,Ecuador,2016-09-20,2016-09-20,0.559201264364402,0.147602021073172,-78.50146148,-0.202552140000004,N,663,4640,117
644,645,Ecuador,2016-09-21,2016-09-21,0.5525447481090761,0.0616064503140618,-78.488518,-0.10920045999999599,N,1113,866,972
645,646,Ecuador,2016-09-21,2016-09-21,0.7542344956995909,0.365360316235174,-79.92472059999999,-2.06737385999999,N,1253,12100,257
646,647,Bogotá,2016-09-21,2016-09-21,0.3776427622910061,0.760626124093321,-74.05975817018191,4.71368056442928,N,1175,5395,509
647,648,Valparaiso UberX,2016-09-21,2016-09-21,0.361176643133095,0.7301309012777221,-71.4313619689893,-32.799890909114,N,4310,12766,231
648,649,Ecuador,2016-09-21,2016-09-21,0.5685347601664039,0.0584533653977817,-78.49830558571429,-0.204924288571451,N,2126,12728,759
649,650,Monterrey,2016-09-21,2016-09-21,0.15381852609978602,0.6334071708815571,-100.18653766,25.74599368,N,645,5435,182
650,651,Ecuador,2016-09-21,2016-09-21,0.7666312466204409,0.37646326047485706,-79.89633338,-2.16760694,N,1455,12529,450
651,652,Bogotá,2016-09-21,2016-09-21,0.382367900685474,0.7620183898655541,-74.09754437920259,4.64008767920261,N,2935,9739,1571
652,653,Monterrey,2016-09-21,2016-09-21,0.193425246976615,0.610285897459463,-100.345127191336,25.691817036479502,N,638,4036,154
653,654,Monterrey,2016-09-21,2016-09-21,0.12822552365522,0.5810383327698051,-100.11181032,25.65255,N,1504,8536,4290
